Title,Place,Place_name_normalised,Type,Occurrences,Longitude,Latitude,ID_Wikidata
Segunda parte,Caracuel,Caracuel de Calatrava,"Continente, país, región, ciudad, pueblo",2,-4.0636111111111,38.845833333333,Q1645918
Segunda parte,Cartagena,Cartagena,"Continente, país, región, ciudad, pueblo",1,-0.984166666666667,37.6019444444444,Q162615
Segunda parte,Cartago,Carthage,"Continente, país, región, ciudad, pueblo",1,10.323461,36.852558,Q6343
Segunda parte,Castilla,Castile,"Continente, país, región, ciudad, pueblo",1,-3.81666667,42.35,Q173063
Segunda parte,Castilla la Vieja,Old Castile,"Continente, país, región, ciudad, pueblo",1,-3.696373,42.343461,Q1043594
Segunda parte,Castillo de Santángel,Hadrian's Mausoleum,"Monumento, edificio, calle",1,12.466276,41.903065,Q486382
Segunda parte,Catay,Cathay,"Continente, país, región, ciudad, pueblo",1,105,35,Q1050868
Segunda parte,China,People's Republic of China,"Continente, país, región, ciudad, pueblo",2,103.451944444444,35.8447222222222,Q148
Segunda parte,Chipre,Cyprus,"Continente, país, región, ciudad, pueblo",2,33,35,Q229
Segunda parte,Ciudad Real,Ciudad Real,"Continente, país, región, ciudad, pueblo",2,-3.9166666666667,38.983333333333,Q15093
Segunda parte,Córdoba,Córdoba,"Continente, país, región, ciudad, pueblo",1,-4.78,37.89,Q5818
Segunda parte,Cuenca,Cuenca,"Continente, país, región, ciudad, pueblo",2,-2.135,40.071666666667,Q15098
Segunda parte,Ebro,Ebro,Accidente geográfico,3,-4.37,43.0375,Q10965
Segunda parte,Egipto,Egypt,"Continente, país, región, ciudad, pueblo",3,29,27,Q79
Segunda parte,España,Spain,"Continente, país, región, ciudad, pueblo",36,-3.5,40.2,Q29
Segunda parte,Españas,Españas,"Continente, país, región, ciudad, pueblo",1,-3.5,40.2,Q29
Segunda parte,Flandes,Flanders,"Continente, país, región, ciudad, pueblo",3,4.5,51,Q234
Segunda parte,Francia,France,"Continente, país, región, ciudad, pueblo",19,2,47,Q142
Segunda parte,Fuente de la Priora,Fuente de la Priora,"Monumento, edificio, calle",1,-3.7035,40.415,Q10526889
Segunda parte,Fuente de Lavapiés,"Fountain of Lavapiés, Madrid","Monumento, edificio, calle",1,-3.70115833,40.40889722,Q27865371
Segunda parte,Fuente de Leganitos,Fuente de Leganitos,"Monumento, edificio, calle",1,-3.71105,40.423169,Q30904558
Segunda parte,Fuente del Caño Dorado,Fuente de los Caños Dorados,"Monumento, edificio, calle",1,-2.77491,37.48868,Q97605493
Segunda parte,Fuente del Piojo,Fuente del Piojo,"Monumento, edificio, calle",1,-2.3983333333333,40.605277777778,Q23993856
Segunda parte,Gaeta,Gaeta,"Continente, país, región, ciudad, pueblo",3,13.566666666667,41.216666666667,Q128089
Segunda parte,Granada,Granada,"Continente, país, región, ciudad, pueblo",1,-3.6008333333333,37.178055555556,Q8810
Segunda parte,Grecia,Greece,"Continente, país, región, ciudad, pueblo",2,23,38.5,Q41
Segunda parte,Guadiana,Guadiana,Accidente geográfico,3,-3.733,39.1316,Q14305
Segunda parte,Henares,Henares river,Accidente geográfico,1,-3.5010694444444,40.4048,Q16510
Segunda parte,Herradura,Herradura,"Continente, país, región, ciudad, pueblo",1,-3.7372,36.735,Q1397796
Segunda parte,Indias,Indies,"Continente, país, región, ciudad, pueblo",3,-96,19,Q26219948
Segunda parte,Indias Orientales,East Indies,"Continente, país, región, ciudad, pueblo",1,103,1,Q213137
Segunda parte,Inglaterra,England,"Continente, país, región, ciudad, pueblo",2,-1,53,Q21
Segunda parte,Italia,Italy,"Continente, país, región, ciudad, pueblo",2,12.5,42.5,Q38
Segunda parte,Jaca,Jaca,"Continente, país, región, ciudad, pueblo",1,-0.55,42.55,Q49581
