Name,Place,Occurrences
Primera parte,Alcobendas,1
Primera parte,Alemania,1
Primera parte,Algarbe,1
Segunda parte,Amberes,1
Primera parte,América,1
Primera parte,Apenino,1
Primera parte,Arcadia,1
Primera parte,Arévalo,1
Segunda parte,Arlanza,1
Primera parte,Armenia,1
Primera parte,Asia,1
Segunda parte,Asia,1
Segunda parte,Asturias,1
Segunda parte,Atenas,1
Segunda parte,Baratario,1
Primera parte,Basilea,1
Primera parte,Béjar,1
Segunda parte,Bolonia,1
Primera parte,Bretaña,1
Segunda parte,Cádiz,1
Segunda parte,Calle de Santiago,1
Segunda parte,Cantillana,1
Primera parte,Cartagena,1
Segunda parte,Cartagena,1
Primera parte,Cartago,1
Segunda parte,Cartago,1
Segunda parte,Castilla,1
Segunda parte,Castilla la Vieja,1
Segunda parte,Castillo de Santángel,1
Primera parte,Cataluña,1
Primera parte,Catay,1
Segunda parte,Catay,1
Primera parte,Chipre,1
Segunda parte,Potro de Córdoba,1
Segunda parte,Córdoba,1
Primera parte,Creta,1
Primera parte,Castillo de la Fama,1
Primera parte,Islas de Riarán,1
Primera parte,Dinamarca,1
Segunda parte,Fuente del Caño Dorado,1
Primera parte,Egipto,1
Segunda parte,Campos Elíseos,1
Primera parte,Españas,1
Segunda parte,Españas,1
Primera parte,Fez,1
Segunda parte,Fuente de Lavapiés,1
Segunda parte,Fuente de Leganitos,1
Segunda parte,Fuente del Piojo,1
Segunda parte,Fuente de la Priora,1
Primera parte,Gaeta,1
Segunda parte,Palacios de Galiana,1
Primera parte,Estrecho de Gibraltar,1
Primera parte,Granada,1
Segunda parte,Granada,1
Primera parte,Guadalajara,1
Segunda parte,Puerta de Guadalajara,1
Primera parte,Guadarrama,1
Segunda parte,Henares,1
Segunda parte,Herradura,1
Primera parte,Iberia,1
Primera parte,India,1
Segunda parte,Indias Orientales,1
Primera parte,Israel,1
Primera parte,Italias,1
Segunda parte,Jaca,1
Primera parte,Jerez,1
Primera parte,Jerusalén,1
Segunda parte,Islas de los Lagartos,1
Segunda parte,Lavajos,1
Segunda parte,León,1
Primera parte,Lepanto,1
Segunda parte,Libia,1
Primera parte,Lisboa,1
Segunda parte,Loja,1
Primera parte,Lombardía,1
Primera parte,Londres,1
Segunda parte,Londres,1
Primera parte,Lusitania,1
Segunda parte,La Madalena,1
Segunda parte,Majalahonda,1
Primera parte,Percheles de Málaga,1
Primera parte,Málaga,1
Primera parte,Ínsula Malindrania,1
Segunda parte,Malta,1
Segunda parte,Manzanares,1
Segunda parte,Marchena,1
Primera parte,Marruecos,1
Segunda parte,Marruecos,1
Primera parte,Meca,1
Segunda parte,Medina del Campo,1
Segunda parte,Mediterráneo,1
Segunda parte,Milán,1
Primera parte,Castillo de Miraguarda,1
Segunda parte,Montiel,1
Segunda parte,Morón,1
Segunda parte,Navarra,1
Primera parte,Nerbia,1
Primera parte,Nueva España,1
Primera parte,Nueva Vizcaya,1
Segunda parte,Orán,1
Segunda parte,Oviedo,1
Segunda parte,Pancaya,1
Primera parte,Universidad de París,1
Segunda parte,París,1
Primera parte,La Pata,1
Segunda parte,Peralvillo,1
Primera parte,Pirineo,1
Primera parte,Pisuerga,1
Segunda parte,Pisuerga,1
Primera parte,Puente de Mantible,1
Primera parte,Puente de Plata,1
Primera parte,Ciudad de Ras,1
Primera parte,Rávena,1
Primera parte,La Rochela,1
Segunda parte,Templo de la Rotunda,1
Primera parte,Azoguejo de Segovia,1
Primera parte,Compás de Sevilla,1
Primera parte,Sierra Negra,1
Primera parte,Sigüenza,1
Segunda parte,Sorrento,1
Primera parte,Tajo,1
Segunda parte,Tarragona,1
Primera parte,Valle de Terebinto,1
Segunda parte,Tíbar,1
Primera parte,Ventillas de Toledo,1
Segunda parte,Torre de Nona,1
Primera parte,Toscana,1
Segunda parte,Trapobana,1
Primera parte,Troya,1
Primera parte,Trujillo,1
Primera parte,Úbeda,1
Primera parte,Utrique,1
Primera parte,Olivera de Valencia,1
Primera parte,Valladolid,1
Segunda parte,Venecia,1
Primera parte,Viso,1
Segunda parte,Zamora,1
Primera parte,Zaragoza,1
